; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0D:$DBB7] $7E:F373[1] = $73   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $72   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $71   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $70   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $50   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $51   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $52   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $53   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $54   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $55   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $6A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $56   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $69   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $57   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $68   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $58   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $67   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $59   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $66   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $65   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $64   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $63   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $62   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $61   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $60   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $60   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $61   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $62   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $63   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $64   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $65   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $5A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $66   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $59   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $67   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $58   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $68   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $57   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $69   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $56   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $55   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $54   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $53   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $52   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $51   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $50   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $70   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $71   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $72   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $73   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $74   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $75   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $4A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $76   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $49   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $77   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $48   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $78   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $47   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $79   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $46   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $45   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $44   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $43   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $42   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $41   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $40   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $80   | Magic Power
[$0D:$DBAC] $7E:F373[1] = $00   | Magic filler
[$02:$B82E] $7E:F12E[2] = $0008 | Room $0097
[$07:$B0B5] $7E:F36E[1] = $70   | Magic Power
[$07:$B0B5] $7E:F36E[1] = $60   | Magic Power
[$02:$B82E] $7E:F12E[2] = $000A | Room $0097
[$07:$B0B5] $7E:F36E[1] = $50   | Magic Power
[$07:$B0B5] $7E:F36E[1] = $40   | Magic Power
[$02:$B89D] $7E:F12E[2] = $010A | Room $0097
[$02:$B82E] $7E:F12E[2] = $010F | Room $0097
[$02:$B82E] $7E:F1A2[2] = $0009 | Room $00D1
[$02:$B89D] $7E:F1A2[2] = $0019 | Room $00D1
[$09:$86B1] $7E:F366[2] = $77B0 | BigKey1
[$02:$B82E] $7E:F1A2[2] = $001B | Room $00D1
[$02:$B82E] $7E:F162[2] = $0002 | Room $00B1
[$02:$B82E] $7E:F162[2] = $0007 | Room $00B1
[$02:$B82E] $7E:F182[2] = $C407 | Room $00C1
[$07:$80FB] $7E:F36D[1] = $50   | Health (actual)
[$02:$B82E] $7E:F186[2] = $000A | Room $00C3
[$02:$B82E] $7E:F186[2] = $000F | Room $00C3
[$02:$B89D] $7E:F186[2] = $001F | Room $00C3
[$09:$863C] $7E:F350[1] = $01   | Cane of Somaria
[$07:$80FB] $7E:F36D[1] = $48   | Health (actual)
[$07:$80FB] $7E:F36D[1] = $40   | Health (actual)
[$02:$B89D] $7E:F166[2] = $0412 | Room $00B3
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$07:$80FB] $7E:F36D[1] = $38   | Health (actual)
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F166[2] = $8412 | Room $00B3
[$02:$B82E] $7E:F166[2] = $841A | Room $00B3
[$02:$B82E] $7E:F164[2] = $000D | Room $00B2
[$06:$D1DA] $7E:F360[2] = $0065 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0065 | Rupees (actual)
[$02:$B89D] $7E:F164[2] = $800D | Room $00B2
[$02:$B82E] $7E:F144[2] = $000F | Room $00A2
[$02:$B89D] $7E:F144[2] = $800F | Room $00A2
[$02:$B82E] $7E:F126[2] = $000C | Room $0093
[$07:$B0B5] $7E:F36E[1] = $38   | Magic Power
[$02:$B82E] $7E:F126[2] = $000E | Room $0093
[$02:$B82E] $7E:F124[2] = $0005 | Room $0092
[$07:$B0B5] $7E:F36E[1] = $30   | Magic Power
[$02:$B82E] $7E:F124[2] = $0007 | Room $0092
[$09:$8137] $7E:F343[1] = $01   | Bombs
[$02:$B89D] $7E:F124[2] = $4007 | Room $0092
[$02:$B82E] $7E:F124[2] = $400F | Room $0092
[$07:$A077] $7E:F377[1] = $14   | Arrows
[$02:$B82E] $7E:F122[2] = $0005 | Room $0091
[$06:$D1FF] $7E:F373[1] = $10   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $0F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $31   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $32   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $33   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $34   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $35   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $36   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $09   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $37   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $08   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $38   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $07   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $39   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $06   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $05   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $04   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $03   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $02   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $01   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $00   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $40   | Magic Power
[$02:$B82E] $7E:F140[2] = $000F | Room $00A0
[$02:$B89D] $7E:F140[2] = $800F | Room $00A0
[$02:$B82E] $7E:F120[2] = $0002 | Room $0090
[$07:$80FB] $7E:F36D[1] = $30   | Health (actual)
[$07:$80FB] $7E:F36D[1] = $28   | Health (actual)
[$07:$80FB] $7E:F36D[1] = $20   | Health (actual)
[$07:$80FB] $7E:F36D[1] = $18   | Health (actual)
[$07:$A077] $7E:F377[1] = $13   | Arrows
[$07:$A077] $7E:F377[1] = $12   | Arrows
[$07:$A077] $7E:F377[1] = $11   | Arrows
[$07:$A077] $7E:F377[1] = $10   | Arrows
[$07:$A077] $7E:F377[1] = $0F   | Arrows
[$07:$A077] $7E:F377[1] = $0E   | Arrows
[$07:$A077] $7E:F377[1] = $0D   | Arrows
[$07:$A077] $7E:F377[1] = $0C   | Arrows
[$08:$C49C] $7E:F36C[1] = $60   | Health (goal)
[$08:$C4A7] $7E:F372[1] = $08   | Hearts filler
[$0D:$DCD8] $7E:F36D[1] = $20   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $00   | Hearts filler
[$08:$CC70] $7E:F37A[1] = $77   | Crystals
[$1E:$CD9B] $7E:F3CC[1] = $06   | Tagalong
[$1E:$CDA7] $7E:F3CC[1] = $00   | Tagalong
[$00:$F9EB] $7E:F3F1[2] = $0000 | Deaths Total
[$02:$A0D5] $7E:F383[1] = $00   | Key for dungeon $07
[$02:$B89D] $7E:F120[2] = $0802 | Room $0090
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $41   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $28   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $42   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $43   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $44   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $45   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $46   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $47   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $48   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $49   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4B   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $30   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $50   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $51   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $52   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $53   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $54   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $55   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $38   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $56   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $57   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $58   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $59   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5F   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $40   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $60   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $61   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $62   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $63   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $64   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $65   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $66   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $67   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $68   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $69   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $48   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $70   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $71   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $72   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $73   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $50   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $74   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $75   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $76   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $77   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $78   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $79   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7D   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $58   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $80   | Magic Power
[$0D:$DBAC] $7E:F373[1] = $00   | Magic filler
[$0D:$DCD8] $7E:F36D[1] = $60   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F140] $7E:F372[1] = $00   | Hearts filler
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$02:$B166] $7E:F3CA[1] = $00   | LW/DW
[$09:$8137] $7E:F343[1] = $00   | Bombs
[$1B:$C219] $7E:F2B7[1] = $02   | Overworld $37
[$02:$B82E] $7E:F240[2] = $0002 | Room $0120
[$02:$B82E] $7E:F240[2] = $000A | Room $0120
[$02:$B89D] $7E:F240[2] = $001A | Room $0120
[$09:$863C] $7E:F346[1] = $01   | Ice Rod
[$02:$B82E] $7E:F1DE[2] = $0003 | Room $00EF
[$02:$B82E] $7E:F1BE[2] = $0003 | Room $00DF
[$04:$E7EA] $7E:F287[2] = $0020 | Overworld $07
[$02:$B166] $7E:F3CA[1] = $40   | LW/DW
[$07:$B0B5] $7E:F36E[1] = $60   | Magic Power
[$1B:$CE54] $7E:F2C7[1] = $20   | Overworld $47
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F1AC[2] = $0005 | Room $00D6
